Date,AAPL,AMZN,HD,IBM,KO,MSFT,WMT,ADBE,COST,BA
20090731,31639.96836,5257.0044,17776.9632,1305.337,24798.9343,39557.7556,65284.9175,4890.553815,10017.98496,2128.03263
20090831,31639.96836,5257.0044,17776.9632,1305.337,24798.9343,39557.7556,65284.9175,4890.553815,10017.98496,2128.03263
20090930,31639.96836,5257.0044,17776.9632,1305.337,24798.9343,39557.7556,65284.9175,4890.553815,10017.98496,2128.03263
20091030,31639.96836,5257.0044,17776.9632,1305.337,24798.9343,39557.7556,65284.9175,4890.553815,10017.98496,2128.03263
20091130,31639.96836,5257.0044,17776.9632,1305.337,24798.9343,39557.7556,65284.9175,4890.553815,10017.98496,2128.03263
20091231,31639.96836,5257.0044,17776.9632,1305.337,24798.9343,39557.7556,65284.9175,4890.553815,10017.98496,2128.03263
20100129,47791.00954,6863.9945,19393.0278,1227.993,31002.9672,46175.3028,70748.982,5192.375414,10828.9931,2765.970832
20100226,47791.00954,6863.9945,19393.0278,1227.993,31002.9672,46175.3028,70748.982,5192.375414,10828.9931,2765.970832
20100331,47791.00954,6863.9945,19393.0278,1227.993,31002.9672,46175.3028,70748.982,5192.375414,10828.9931,2765.970832
20100430,47791.00954,6863.9945,19393.0278,1227.993,31002.9672,46175.3028,70748.982,5192.375414,10828.9931,2765.970832
20100528,47791.00954,6863.9945,19393.0278,1227.993,31002.9672,46175.3028,70748.982,5192.375414,10828.9931,2765.970832
20100630,47791.00954,6863.9945,19393.0278,1227.993,31002.9672,46175.3028,70748.982,5192.375414,10828.9931,2765.970832
20100730,47791.00954,6863.9945,19393.0278,1227.993,31002.9672,46175.3028,70748.982,5192.375414,10828.9931,2765.970832
20100831,47791.00954,6863.9945,19393.0278,1227.993,31002.9672,46175.3028,70748.982,5192.375414,10828.9931,2765.970832
20100930,47791.00954,6863.9945,19393.0278,1227.993,31002.9672,46175.3028,70748.982,5192.375414,10828.9931,2765.970832
20101029,47791.00954,6863.9945,19393.0278,1227.993,31002.9672,46175.3028,70748.982,5192.375414,10828.9931,2765.970832
20101130,47791.00954,6863.9945,19393.0278,1227.993,31002.9672,46175.3028,70748.982,5192.375414,10828.9931,2765.970832
20101231,47791.00954,6863.9945,19393.0278,1227.993,31002.9672,46175.3028,70748.982,5192.375414,10828.9931,2765.970832
20110131,76614.98569,7757.022,18888.9609,1163.183,31634.9296,57083.2776,68541.9588,5783.115562,12001.98315,3515.0076
20110228,76614.98569,7757.022,18888.9609,1163.183,31634.9296,57083.2776,68541.9588,5783.115562,12001.98315,3515.0076
20110331,76614.98569,7757.022,18888.9609,1163.183,31634.9296,57083.2776,68541.9588,5783.115562,12001.98315,3515.0076
