Date,AAPL,AMZN,HD,IBM,KO,MSFT,WMT,ADBE,COST,BA
20110228,325404593,78260532,61406623,197418488,146652743,223335314,185152448,17460899,32695496,53020675
20110331,322255833,81418760,60113914,198869748,152258792,214063090,181716908,16745369,32030575,54491733
20110429,323784468,88514540,59368263,206606496,154829335,218577321,191673200,16924599,35337605,58899580
20110531,321657522,88912338,57977943,204608004,152945060,210903503,192509897,17469415,36110816,57607598
20110630,311133875,92838465,57671114,207781360,154043902,217776000,184531838,15532117,35567928,54580671
20110729,362010503,101009616,55617118,217179466,155692165,229564488,183038638,13685055,34258867,52224753
20110831,356772420,97700430,53149138,205308331,161759963,222861876,184705466,12465203,34107252,49549411
20110930,354351915,98384650,51418278,208843394,155124246,209324900,178880460,11864956,35592267,44843477
20111031,376206175,97094522,56001654,217608241,155170570,224016407,195493251,14437251,36077636,48897365
20111130,355220129,87444642,60460297,221580184,152694927,215183616,203006919,13460368,37122901,51052743
20111230,377546670,78760505,64807519,216724278,158918103,217824415,204659893,13895836,36238284,54516214
20120131,425608267,88483422,68430204,223416012,153376297,247779468,210139408,15283203,35781609,55133098
20120229,505754783,81146566,73332390,227943575,158107431,266323072,202331099,16318505,37339283,55891789
20120330,560568449,91129496,76635412,241754815,167601122,270942000,208357726,17022083,39404748,55616415
20120430,546057488,104476975,78974053,238863467,172325523,268953725,200333764,16645027,38267739,57526963
20120531,540213351,95921491,75522863,222507052,168587144,245221279,223832429,15404712,37350285,52141301
20120629,547363344,103214205,81109779,225598401,176392731,256374790,235900479,15918368,41072775,55654341
20120731,572530098,105466765,79869943,223961045,181877730,247058710,251836957,15185641,41582942,55565390
20120831,623599958,112234178,85547334,222669720,168371958,258376296,245645077,15470270,42314095,53678377
20120928,626550334,115206965,91004274,237068674,170757977,250638720,248074567,16057109,43304176,52321382
20121031,560012771,105491026,92526790,219805672,166758323,240205825,252175529,16844246,42563494,53117184
20121130,550568242,114168316,97291298,214766187,170077343,224004136,242091197,17101909,45186910,56012840
20121231,499695994,113894980,92476821,216438475,162587123,223667028,228245589,18618894,43010342,56827243
20130131,427731519,120683291,100057379,229455303,167027433,229927925,233999398,18869264,44582988,55703668
20130228,414500192,120234125,102419762,223827043,172564121,232859611,236775946,19715852,44196473,58149165
20130328,416142010,121252945,103659376,237724983,180229676,238823145,246373510,21841745,46303327,65015064
20130430,415615004,115545226,108717243,224575126,188527449,276421642,255685665,22627275,47315708,69351030
20130531,422143299,122551420,114906213,230651328,178105662,291453634,246210952,21585961,47873994,75124593
20130628,360224506,126904330,113167866,211901621,178640113,287690760,244079744,22883011,48284150,77719282
20130731,411122147,137622598,115446708,213651876,177680812,265225799,255384283,23746900,51275435,79292064
20130830,442634274,128375271,106702679,199663297,169257820,278220530,239131960,22957625,48869179,78401820
20130930,428699798,143189125,108650802,202850976,167927874,277754880,240773526,25964131,50310748,88647170
20131031,470294879,166628908,111572985,194595906,174738073,295559807,248982066,27103873,51556796,98064617
20131129,500317319,180173257,113601672,195106236,177475945,318308020,262801787,28177700,55154330,100882565
20131231,500680634,183044615,115953411,203673646,182421779,310503000,254622899,29715612,52335712,102565827
20140131,446529702,164733763,108222245,191848674,167010208,314099396,241647453,29393991,49407164,94127003
20140228,469400282,166527622,115516861,192825113,168305113,318000736,241712168,34212124,51378918,95839773
20140331,462533003,154727895,109306226,200447740,170331823,338577400,246805845,32720770,49125575,92495793
20140430,508292340,139950590,108777392,198863594,179279515,333720645,257235250,30704964,50885087,94084610
20140530,545254173,143825191,109723912,186606058,179806937,338181267,247747461,32092321,50851102,98627681
20140630,556573661,150048360,110722272,183478412,186179952,343566300,241996027,35990055,50474167,92779297
20140731,572440085,144612643,110571834,191208459,172322954,355631883,237192856,34443169,51517312,86819454
20140829,613756368,156648690,125843707,191836942,182980749,374336340,243382178,35849268,52994658,91373728
20140930,591015721,149289720,123474884,189372889,187103518,382702913,246425569,34507751,54850434,91791684
20141031,633402720,141429808,131254313,162700094,183439132,387001948,245781067,34971579,58384318,89052086
20141128,697505421,156792356,130992004,160493162,196360466,394090802,282098788,36654621,62603718,95789275
20141231,643120129,144121579,138332300,158781050,184928371,381726100,276807557,36167087,62441442,92666641
20150130,682427476,164638060,137607495,151930210,180329252,331432914,273906686,34946761,62987671,103638634
20150227,748247186,176923803,151220648,160065383,189058365,359735972,270522337,39553797,64688563,106256937
20150331,724773394,173398605,148533032,158642052,177142391,329834015,265107378,36989890,66653861,105032287
20150430,721149092,196414932,138898446,168675077,177186076,393476928,251750509,38050460,62938281,99122047
20150529,750709578,199884260,144731906,167060113,178532393,379077485,239558108,39408649,62666594,97171969
20150630,715599795,203154120,144355203,160176832,170991840,354392050,228433541,40314221,59357249,95927238
20150731,691740179,250762726,152019161,158674074,178698164,373505713,231815117,40801914,63857606,97962794
20150831,643038933,239883787,149546635,144862692,171042157,348072133,208466137,39183252,61335178,88796400
20150930,629010237,240076415,148301055,142002464,174522160,353460360,207873279,41011254,63314725,88979870
20151030,666252055,293398145,158766495,135893009,184179515,420483740,183508120,44223519,69162795,99204538
20151130,659561657,311632973,169743908,135252736,185353741,434143072,188637627,45529611,70988803,97449173
20151231,583612702,318344195,167677262,133506538,186832396,439679000,196276041,46764177,71023986,96872987
20160129,539709709,276384254,159448715,121060027,186658436,435723502,212477619,44369716,66459100,80485178
20160229,536105730,260181125,157369390,125904237,186731249,402425337,212413582,42678372,65901578,78294723
20160331,597095830,280198085,167181239,145525427,200810713,434660100,215355504,46919698,69183135,82645049
20160429,513453820,311213045,167562398,140096854,193813715,392001489,209889684,47129786,65034255,85869083
20160531,546975661,341032551,164358205,147584567,192948475,416604751,222162282,49755889,65171079,80358938
20160630,515586574,339203880,158847254,145703032,196106601,399535360,227577564,47731295,68946052,82728619
20160729,561529645,359732092,171971540,153527663,188308345,441679750,227421732,48762757,73415433,83380583
20160831,571713802,364638744,165715185,151864495,187445139,447757912,220982352,50980152,70918265,80754276
20160930,609163481,397722250,158993650,151835829,182654347,448112851,223085767,53969019,66809441,82182843
20161031,605430818,375296405,150752384,146136905,182869462,465899032,216589925,53456875,64637969,87902947
20161130,589327233,356646100,157630021,154247698,174027896,468542651,217858161,51119908,65949778,92920513
20161230,608960249,357687990,163331027,157832431,178815280,480342200,212418893,50883449,70326716,96080397
20170131,636667629,392940766,167594590,165943215,179289706,499584815,205104701,56038519,72013398,100857268
20170228,718723567,403603770,176523711,169608571,180153666,494407369,217981367,58657824,77771562,110387090
20170331,747867383,423766110,176624450,164251112,182153117,508636780,218619289,64375051,73606016,107545913
20170428,748968064,442122090,187502493,150591965,184360921,528546457,227912380,66160915,77920806,111559876
20170531,796466146,475403495,183529636,143395427,194273258,539200768,238280302,70177858,79135331,113249903
20170630,744552004,464640000,183398125,144522824,191624271,531312440,228137284,69787345,70199830,119358143
20170731,768224360,474509771,178855040,134823760,195521535,559953139,241129775,72279050,69576534,143313990
20170831,847097392,471060618,176669454,133295378,194284597,575896784,233210860,76556875,68799617,141658952
20170929,790050098,463370690,192807472,135205855,191981333,574722604,233419964,73537232,72056440,150259215
20171031,867904049,532603499,195424448,142627361,195905469,641699596,260812607,86343896,70390349,153647476
20171130,882331569,567042876,209984637,142544040,195010729,649337040,290445650,89454366,80998885,164856261
20171229,860882487,563534833,221323468,142034855,195479402,659085700,292535124,86088758,81726409,175642203
20180131,849541946,702386010,234600762,151551987,202765143,731557333,315789815,98134492,85568586,211055330
20180228,903783196,732945345,212845610,143545609,184372501,722009590,266643914,103170730,83782760,213156957
20180329,829383854,701959885,206271816,141334797,185207192,701866300,263563038,106412918,82686848,192539005
20180430,812275657,759928562,213022102,133068650,184269002,718532677,261176292,109131357,86517751,194325718
20180531,918491838,790735624,215193633,129718058,182976309,759407290,243697617,122762922,86936570,205161725
20180629,896472366,827802624,225056446,128240130,186635835,757028970,252739789,119384736,91646507,195461757
20180731,919086570,866930334,227848011,132287457,198313753,813444459,263303810,119810738,95913525,204697195
20180831,1099436055,981681169,229708586,133702257,189552734,861370816,282867906,128858239,102155002,196935603
20180928,1073390587,969452000,237008175,138019658,196442467,878361600,275037504,131771778,103004745,213659519
20181031,1038577806,781377357,201230991,104902091,203801890,819896951,293693546,119963807,100187495,201519665
20181130,847433175,826440754,203676500,112935830,214528306,851215925,283698639,122349770,101889479,196919808
20181231,746079173,734416754,194075512,103302614,201545938,780362310,270624969,110328882,89732222,183142913
