PERMNO,date,PRC,SHROUT
12490,20160729,160.62000,955844
12490,20160831,158.88000,955844
12490,20160930,158.85001,955844
12490,20161031,153.69000,950855
12490,20161130,162.22000,950855
12490,20161230,165.99001,950855
12490,20170131,174.52000,950855
12490,20170228,179.82001,943213
12490,20170331,174.14000,943213
12490,20170428,160.28999,939497
12490,20170531,152.63000,939497
12490,20170630,153.83000,939497
12490,20170731,144.67000,931940
12490,20170831,143.03000,931940
12490,20170929,145.08000,931940
12490,20171031,154.06000,925791
12490,20171130,153.97000,925791
12490,20171229,153.42000,925791
12490,20180131,163.70000,925791
12490,20180228,155.83000,921168
12490,20180329,153.42999,921168
12490,20180430,144.96001,917968
12490,20180531,141.31000,917968
12490,20180629,139.70000,917968
12490,20180731,144.92999,912768
12490,20180831,146.48000,912768
12490,20180928,151.21001,912768
12490,20181031,115.43000,908794
12490,20181130,124.27000,908794
12490,20181231,113.67000,908794
14008,19990129,127.81250,254512
14008,19990226,124.87500,254512
14008,19990331,74.87500,509024
14008,19990430,61.43750,509024
14008,19990528,63.25000,509024
14008,19990630,60.87500,509024
14008,19990730,76.87500,509024
14008,19990831,83.18750,509024
14008,19990930,81.50000,509024
14008,19991029,79.75000,509024
14008,19991130,45.56250,1018048
14008,19991231,60.06250,1018048
14008,20000131,63.68750,1018048
14008,20000229,68.18750,1018048
14008,20000331,61.37500,1026769
14008,20000428,56.00000,1026769
14008,20000531,63.62500,1026769
14008,20000630,70.25000,1028267
14008,20000731,64.93750,1028267
14008,20000831,75.81250,1028267
14008,20000929,69.82813,1032982
14008,20001031,57.93750,1032982
14008,20001130,63.62500,1032982
14008,20001229,63.93750,1037400
14008,20010131,70.31250,1037400
14008,20010228,72.06250,1041538
14008,20010330,60.18750,1043163
14008,20010430,61.14000,1043163
14008,20010531,66.38000,1043163
14008,20010629,60.68000,1047141
14008,20010731,62.71000,1047141
14008,20010831,64.30000,1047141
14008,20010928,58.77000,1045511
14008,20011031,56.82000,1045511
14008,20011130,66.43000,1045511
14008,20011231,56.44000,1045800
14008,20020131,55.50000,1045800
14008,20020228,57.98000,1047800
14008,20020328,59.68000,1038989
14008,20020430,52.88000,1038989
14008,20020531,47.63000,1038989
14008,20020628,41.88000,1031000
14008,20020731,45.64000,1278174
14008,20020830,45.03000,1278174
14008,20020930,41.70000,1282300
14008,20021031,46.56000,1287066
14008,20021129,47.20000,1287066
14008,20021231,48.34000,1289100
14008,20030131,50.96000,1289100
14008,20030228,54.64000,1292333
14008,20030331,57.55000,1288200
14008,20030430,61.30000,1289517
14008,20030530,64.74000,1289517
14008,20030630,65.94000,1288700
14008,20030731,69.43000,1290781
14008,20030829,65.94000,1290781
14008,20030930,64.52000,1289600
14008,20031031,61.76000,1289949
14008,20031128,57.62000,1289949
14008,20031231,61.79000,1283700
14008,20040130,64.66000,1283700
14008,20040227,63.52900,1280068
14008,20040331,58.15000,1277600
14008,20040430,56.41000,1271652
14008,20040528,54.70000,1271652
14008,20040630,54.57000,1265400
14008,20040730,56.88000,1266017
14008,20040831,59.29000,1266017
14008,20040930,56.81000,1270000
14008,20041029,56.80000,1270136
14008,20041130,60.04000,1270136
14008,20041231,64.15000,1260000
14008,20050131,62.24000,1260000
14008,20050228,61.61000,1252717
14008,20050331,58.21000,1237000
14008,20050429,58.21000,1237481
14008,20050531,62.58000,1237481
14008,20050630,60.46000,1231000
14008,20050729,79.77000,1233807
14008,20050831,79.90000,1233807
14008,20050930,79.67000,1234000
14008,20051031,75.62000,1234320
14008,20051130,80.93000,1234320
14008,20051230,78.86000,1224000
14008,20060131,72.89000,1226485
14008,20060228,75.48000,1184634
14008,20060331,72.75000,1179161
14008,20060428,67.70000,1179216
14008,20060531,67.59000,1179216
14008,20060630,65.23000,1170000
14008,20060731,69.71000,1170571
14008,20060831,68.03000,1170571
14008,20060929,71.53000,1166000
14008,20061031,75.91000,1166518
14008,20061130,71.04000,1166518
14008,20061229,68.31000,1166000
14008,20070131,70.37000,1167459
14008,20070228,64.26000,1167044
14008,20070330,55.88000,1159000
14008,20070430,64.14000,1159645
14008,20070531,56.45000,1159645
14008,20070629,55.29000,1089000
14008,20070731,53.74000,1089000
14008,20070831,50.11000,1086742
14008,20070928,56.57000,1087000
14008,20071031,58.11000,1087000
14008,20071130,55.25000,1087642
14008,20071231,46.44000,1087000
14008,20080131,46.59000,1087000
14008,20080229,45.52000,1087628
14008,20080331,41.78000,1088000
14008,20080430,41.87000,1088000
14008,20080530,44.03000,1088696
14008,20080630,47.16000,1057000
14008,20080731,62.63000,1057000
14008,20080829,62.85000,1058036
14008,20080930,59.27000,1059000
14008,20081031,59.89000,1059521
14008,20081128,55.54000,1059521
14008,20081231,57.75000,1047000
14008,20090130,54.85000,1047000
14008,20090227,48.93000,1033964
14008,20090331,49.52000,1011000
14008,20090430,48.47000,1011000
14008,20090529,49.94000,1012372
14008,20090630,52.94000,1015000
14008,20090731,62.31000,1015000
14008,20090831,59.78000,1015477
14008,20090930,60.23000,1016000
14008,20091030,53.62000,1016000
14008,20091130,56.35000,1012138
14008,20091231,56.57000,995000
14008,20100129,58.48000,995000
14008,20100226,56.61000,979302
14008,20100331,59.83750,966000
14008,20100430,57.31000,966000
14008,20100528,51.78000,957938
14008,20100630,52.60000,958000
14008,20100730,54.53000,958474
14008,20100831,51.04000,958474
14008,20100930,55.11000,952000
14008,20101029,57.19000,944815
14008,20101130,52.69000,944815
14008,20101231,54.90000,932000
14008,20110131,55.08000,932000
14008,20110228,51.33000,932453
14008,20110331,53.45000,933000
14008,20110429,56.85000,929731
14008,20110531,60.54000,929731
14008,20110630,58.35000,924000
14008,20110729,54.70000,924091
14008,20110831,55.40500,924091
14008,20110930,54.96000,876544
14008,20111031,57.27000,876544
14008,20111130,57.91000,876544
14008,20111230,64.21000,795600
14008,20120131,67.93000,795600
14008,20120229,68.01000,791432
14008,20120330,67.97000,781100
14008,20120430,71.11000,777708
14008,20120531,69.52000,777708
14008,20120629,72.91000,769200
14008,20120731,82.60000,770769
14008,20120831,83.92000,770769
14008,20120928,84.29000,768100
14008,20121031,86.49000,767355
14008,20121130,88.80000,767355
14008,20121231,86.20000,756300
14008,20130131,85.46000,756300
14008,20130228,91.55000,748430
14008,20130328,102.51000,749600
14008,20130430,104.21000,749977
14008,20130531,100.53000,749977
14008,20130628,98.66000,752900
14008,20130731,108.29000,753356
14008,20130830,108.94000,753356
14008,20130930,111.92500,754100
14008,20131031,116.14000,754126
14008,20131129,114.08000,754126
14008,20131231,114.08000,754600
14008,20140131,118.95000,754600
14008,20140228,124.02000,755007
14008,20140331,123.34000,756900
14008,20140430,111.75000,757022
14008,20140530,115.99000,757022
14008,20140630,118.37000,759400
14008,20140731,127.39000,759607
14008,20140829,139.38000,759607
14008,20140930,140.46001,760600
14008,20141031,162.17999,760670
14008,20141128,165.31000,760670
14008,20141231,159.28999,760400
14008,20150130,152.25999,760400
14008,20150227,157.72000,758861
14008,20150331,159.85001,760400
14008,20150430,157.91000,760324
14008,20150529,156.25999,760324
14008,20150630,153.52000,759100
14008,20150731,176.59000,758250
14008,20150831,151.78000,758250
14008,20150930,138.32001,754900
14008,20151030,158.17999,754328
14008,20151130,161.10001,754328
14008,20151231,162.33000,754000
14008,20160129,152.73000,754000
14008,20160229,142.28000,752091
14008,20160331,149.92999,751300
14008,20160429,158.30000,751217
14008,20160531,157.95000,751217
14008,20160630,152.14999,748900
14008,20160729,172.03000,748361
14008,20160831,170.06000,748361
14008,20160930,166.81000,744800
14008,20161031,141.16000,743922
14008,20161130,144.07001,743922
14008,20161230,146.21001,738200
14008,20170131,156.67999,738200
14008,20170228,176.53000,736453
14008,20170331,164.07001,736100
14008,20170428,163.32001,735399
14008,20170531,155.24001,735399
14008,20170630,172.23000,730700
14008,20170731,174.50999,729675
14008,20170831,177.77000,729675
14008,20170929,186.45000,726600
14008,20171031,175.22000,725911
14008,20171130,175.66000,725911
14008,20171229,173.89999,722200
14008,20180131,186.05000,722200
14008,20180228,183.77000,720562
14008,20180329,170.48000,666400
14008,20180430,174.48000,661706
14008,20180531,179.62000,661706
14008,20180629,184.59000,649000
14008,20180731,196.55000,647272
14008,20180831,199.81000,647272
14008,20180928,207.28999,640500
14008,20181031,192.78999,637219
14008,20181130,208.25000,637219
14008,20181231,194.67000,629600
18411,19990129,26.93750,697240
18411,19990226,25.06250,697240
18411,19990331,23.31250,697240
18411,19990430,27.06250,698630
18411,19990528,28.37500,697090
18411,19990630,26.50000,697090
18411,19990730,26.37500,697090
18411,19990831,27.06250,683159
18411,19990930,25.75000,683159
18411,19991029,26.56250,683159
18411,19991130,23.37500,673093
18411,19991231,23.50000,673093
18411,20000131,25.68750,673093
18411,20000229,22.18750,673093
18411,20000331,21.75000,649564
18411,20000428,24.93750,649564
18411,20000531,25.93750,648624
18411,20000630,23.31250,648624
18411,20000731,24.43750,648624
18411,20000831,29.93750,648627
18411,20000929,32.43750,648627
18411,20001031,29.37500,648627
18411,20001130,31.56250,648627
18411,20001229,33.25000,648627
18411,20010131,29.18000,648627
18411,20010228,30.95000,648627
18411,20010330,35.09000,648627
18411,20010430,23.39000,684082
18411,20010531,23.54000,684082
18411,20010629,23.25000,684082
18411,20010731,23.50000,684082
18411,20010831,23.17000,684082
18411,20010928,23.98000,684082
18411,20011031,23.90000,684082
18411,20011130,22.75000,684082
18411,20011231,25.35000,684082
18411,20020131,24.65000,695132
18411,20020228,25.40000,695132
18411,20020328,26.49000,700085
18411,20020430,28.35000,703237
18411,20020531,27.00000,703237
18411,20020628,27.40000,703237
18411,20020731,28.78000,703237
18411,20020830,28.96000,703237
18411,20020930,28.78000,703237
18411,20021031,29.70000,703237
18411,20021129,26.16000,703237
18411,20021231,28.39000,703237
18411,20030131,28.17000,703237
18411,20030228,28.21000,703237
18411,20030331,28.44000,703237
18411,20030430,29.09000,721109
18411,20030530,31.48000,721737
18411,20030630,31.16000,721737
18411,20030731,28.44000,721737
18411,20030829,28.38000,728512
18411,20030930,29.35000,728512
18411,20031031,29.80000,728512
18411,20031128,29.27000,732200
18411,20031231,30.25000,732200
18411,20040130,29.80000,732200
18411,20040227,30.32000,732200
18411,20040331,30.50000,735504
18411,20040430,28.76000,737638
18411,20040528,28.92000,737638
18411,20040630,29.15000,737638
18411,20040730,29.28000,737638
18411,20040831,30.35000,738180
18411,20040930,29.98000,738180
18411,20041029,31.59000,738180
18411,20041130,32.79000,738180
18411,20041231,33.52000,738180
18411,20050131,33.77000,738180
18411,20050228,32.12000,738180
18411,20050331,31.83000,742831
18411,20050429,32.95000,744548
18411,20050531,33.95000,744319
18411,20050630,34.67000,744319
18411,20050729,34.99000,744319
18411,20050831,34.40000,746812
18411,20050930,35.76000,746812
18411,20051031,34.99000,746812
18411,20051130,34.71000,741495
18411,20051230,34.53000,741495
18411,20060131,34.80000,742000
18411,20060228,34.03000,741738
18411,20060331,32.77000,741738
18411,20060428,32.23000,742745
18411,20060531,31.97000,742048
18411,20060630,32.05000,742048
18411,20060731,33.78000,742048
18411,20060831,34.27000,742286
18411,20060929,34.46000,742286
18411,20061031,36.40000,742286
18411,20061130,36.25000,742740
18411,20061229,36.86000,742740
18411,20070131,36.53000,742740
18411,20070228,35.80000,748594
18411,20070330,36.65000,748594
18411,20070430,37.79000,751605
18411,20070531,36.01000,751809
18411,20070629,34.29000,751809
18411,20070731,33.64000,751809
18411,20070831,35.49000,756428
18411,20070928,36.28000,756428
18411,20071031,36.66000,756428
18411,20071130,37.62000,759479
18411,20071231,38.75000,759479
18411,20080131,36.36500,759479
18411,20080229,34.53000,764712
18411,20080331,35.61000,764712
18411,20080430,37.23000,767624
18411,20080530,36.20000,767212
18411,20080630,34.92000,767212
18411,20080731,35.39000,771000
18411,20080829,37.51000,770187
18411,20080930,37.69000,770187
18411,20081031,34.34000,770187
18411,20081128,36.32000,774580
18411,20081231,37.00000,774580
18411,20090130,33.45000,774580
18411,20090227,30.31000,777622
18411,20090331,30.62000,777622
18411,20090430,28.88000,782865
18411,20090529,28.41000,782434
18411,20090630,31.16000,782434
18411,20090731,31.40000,782434
18411,20090831,31.20000,796052
18411,20090930,31.67000,796052
18411,20091030,31.19000,801000
18411,20091130,32.09000,800211
18411,20091231,33.32000,800211
18411,20100129,32.00000,820000
18411,20100226,31.77000,820373
18411,20100331,33.16000,820373
18411,20100430,34.56000,825021
18411,20100528,32.70000,824536
18411,20100630,33.28000,824536
18411,20100730,35.33000,831000
18411,20100831,36.69000,830706
18411,20100930,37.24000,830706
18411,20101029,37.87000,830706
18411,20101130,37.72000,830706
18411,20101231,38.23000,830706
18411,20110131,37.62000,830706
18411,20110228,38.11000,830706
18411,20110331,38.11000,830706
18411,20110429,39.04000,849587
18411,20110531,40.08000,849123
18411,20110630,40.38000,849123
18411,20110729,39.54000,849123
18411,20110831,41.36000,857653
18411,20110930,42.37000,857653
18411,20111031,43.20000,857653
18411,20111130,43.91000,861928
18411,20111230,46.29000,861928
18411,20120131,45.56000,861928
18411,20120229,44.19000,861928
18411,20120330,44.93000,861928
18411,20120430,45.94000,869216
18411,20120531,45.91000,868690
18411,20120629,46.30000,868690
18411,20120731,48.15000,868690
18411,20120831,45.33000,874797
18411,20120928,46.09000,874797
18411,20121031,46.84000,874797
18411,20121130,43.55000,874106
18411,20121231,42.81000,874106
18411,20130131,44.23000,868000
18411,20130228,45.01000,868970
18411,20130328,46.92000,868970
18411,20130430,48.23000,870000
18411,20130531,43.90000,870391
